"Week","Incident","Category","OldPRC","ProposedPRC","AISnippet"
"2026-W19","INC15495808","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user asked for help confirming that important files on the old laptop were fully synced to OneDrive before changing devices. - Root Cause: The work notes do not show a technical "
"2026-W19","INC15500054","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user contacted support to ask what features are available in Microsoft 365 Copilot and needed product guidance rather than break/fix assistance. - Root Cause: The work notes do n"
"2026-W19","INC15503307","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Prior OneDrive Site Expired","Problem: - Issue: The user asked whether their OneNote notes and related work data would still be available after ending an internship and rejoining three weeks later. - Root Cause: The work notes sho"
"2026-W20","INC15512362","Microsoft OneDrive Issues","Usage Guidance (How Do I)","OneDrive Client Failure","Problem: - Issue: The user asked whether OneDrive could be enabled for a service account used on a VM so files could be shared for automation workflows. - Root Cause: The work notes do not show a OneD"
"2026-W20","INC15519409","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Office Feature Not Working","Problem: - Issue: The user needed help updating the phone number shown in Office applications and wanted to change it from Outlook. - Root Cause: The work notes show this was not a product fault but a"
"2026-W21","INC15529201","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Office Feature Not Working","Problem: - Issue: The user reported that the Microsoft Office 365 application package appeared to have been uninstalled and wanted help confirming whether the Office apps were still available. - Root "
"2026-W23","INC15555094","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user asked how to obtain a Microsoft 365 license for a faceless or generic account and needed the correct process rather than help with a broken application. - Root Cause: The wo"
"2026-W23","INC15558095","Microsoft Word Issues","Usage Guidance (How Do I)","Word Formatting / Layout Issue","Problem: - Issue: The user needed help adjusting page margins and document formatting in Microsoft Word because the text appearance looked smaller and spaced differently than expected. - Root Cause: T"
"2026-W24","INC15570170","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked how to obtain a Microsoft 365 Copilot Professional license and needed the correct request process. - Root Cause: The work notes show this was not a technical failure o"
"2026-W24","INC15577646","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user contacted support to verify whether files currently in the OneDrive recycle bin would be permanently deleted after the retention period. - Root Cause: The work notes show th"
"2026-W25","INC15581924","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked how to enable the Facilitator option in a Teams meeting because the Copilot setting was visible but the Facilitator toggle was not available. - Root Cause: The work no"
"2026-W25","INC15582890","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot License Blackout","Problem: - Issue: The user asked for the procedure to obtain premium Copilot access. - Root Cause: The work notes show there was no active Copilot failure because the user confirmed they could already"
"2026-W25","INC15590618","Microsoft OneDrive Issues","Usage Guidance (How Do I)","File Availability Setting","Problem: - Issue: The user asked why files uploaded to OneDrive were still consuming space on the laptop and wanted to understand the storage behavior because the local C: drive was nearly full. - Roo"
"2026-W25","INC15591864","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Known Folder Backup Failure","Problem: - Issue: The user asked where to store files on an old laptop so they would sync through OneDrive before moving to a new device. - Root Cause: The work notes do not show a OneDrive fault, syn"
"2026-W25","INC15594978","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Feature Inconsistency Across Apps","Problem: - Issue: The user reported that they could not use or locate Copilot in Microsoft Excel and believed the feature was unavailable. - Root Cause: The work notes show the user already had the re"
"2026-W26","INC15596328","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked for information about Microsoft 365 Copilot access and wanted to know the monthly cost. - Root Cause: The work notes show this was not a technical failure because the "
"2026-W26","INC15596459","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user asked whether files stored in OneDrive would be lost when moving to a new laptop and wanted to understand what data would remain available. - Root Cause: The work notes show"
"2026-W26","INC15596839","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked how to obtain access to the MSOL License - Copilot for M365 entitlement for their role. - Root Cause: The work notes do not show a technical failure in Copilot or lice"
"2026-W26","INC15601700","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user asked for help syncing a SharePoint document library to their local machine through OneDrive because they believed it was not already connected. - Root Cause: The work notes"
"2026-W26","INC15602755","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked what license or AGS access was needed to generate AI summaries for Microsoft Teams meetings using Copilot. - Root Cause: The work notes do not show a technical failure"
