"PartitionKey","RowKey","Category","Subcategory","PossibleRootCause","DetailedRootCause","Service","Misrouted","Date","YearWeek","Year","WeekNumber","ReportBlobName","Timestamp"
"2026-W24","INC15494549","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Rejoin access not reapplied to OneDrive","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15529158","Microsoft OneDrive Issues","","OneDrive Sign-In / Connectivity Failure","OneDrive sign-in / connectivity failure","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15547882","Excluded","","Unknown","Unknown","Productivity Tools","True","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15551581","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15551774","Excluded","","Unknown","Unknown","Productivity Tools","True","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15551795","Microsoft 365 Copilot Issues","","Copilot SKU Not Provisioned","Copilot usage / how-to question","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15552287","Microsoft OneNote Issues","Notebook sync failure","Notebook Not Added on New Device","Notebook not added on new device","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15552436","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15552970","Excluded","","Unknown","Unknown","Productivity Tools","True","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15553449","Microsoft OneNote Issues","Data loss after PC refresh","Data Loss After PC Refresh","OneNote data loss after PC refresh","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15554459","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15554663","Microsoft OneDrive Issues","OneDrive client not running","Sync Stall","OneDrive client stopped syncing","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15554690","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15554826","Microsoft OneDrive Issues","OneDrive sync failure","Sync Stall","OneDrive client stopped syncing","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15555094","Microsoft 365 Apps for Enterprise Issues","","Usage Guidance (How Do I)","Office usage / how-to question","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15555171","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15555272","Microsoft 365 Apps for Enterprise Issues","","Usage Guidance (How Do I)","Office usage / how-to question","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15555349","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15555395","Microsoft Word Issues","","Usage Guidance (How Do I)","Word usage / how-to question","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15557627","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15557695","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Rejoin access not reapplied to OneDrive","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15558237","Microsoft Excel Issues","Data refresh failure","File Locked by Another User","Excel data refresh failure","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15558868","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15560283","Shared File Service (Share Drives) Issues","Mapped drive not connecting","Mapped Drive Not Reconnected","Drive remap required after PC change","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15560670","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Rejoin access not reapplied to OneDrive","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15560752","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15560839","Google Workspace Issues","Google access issue","External Application Access Issue","Google external application access issue","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15562758","Microsoft OneDrive Issues","","OneDrive Client Failure","OneDrive client failed to launch","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15562947","Microsoft PowerPoint Issues","Powerpoint Crash","PowerPoint Client Fault","PowerPoint desktop-only crash","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
"2026-W24","INC15564889","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","Productivity Tools","False","2026-06-08","2026-W24","2026","24","EUC_Weekly_Report_2026-W24.html",
