"PartitionKey","RowKey","Category","Subcategory","Confidence","PossibleRootCause","DetailedRootCause","AIAnalysis","Reasoning","Service"
"2026-W17","INC15419570","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W17","INC15439462","Microsoft OneNote Issues","Notebook sync failure",,"OneNote Feature Not Working","OneNote feature not working",,,"Productivity Tools"
"2026-W17","INC15445820","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Usage Guidance (How Do I)","Office usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15447199","Microsoft OneDrive Issues","Permissions / access after rehire","High","PUID Mismatch","Unknown","Rehired user lost access to OneDrive files belonging to the prior account because the old PUID was orphaned. Collaboration Ops ran a tool that removed the old cached identity and re-granted permissions to the new account, restoring access. Classic post-rehire PUID mismatch on OneDrive shares.",,"Productivity Tools"
"2026-W17","INC15449902","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W17","INC15450548","Microsoft 365 Apps for Enterprise Issues","App crash issue",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W17","INC15450793","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15451539","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W17","INC15453275","Microsoft 365 Apps for Enterprise Issues","",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W17","INC15455589","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence assigned but not propagated",,,"Productivity Tools"
"2026-W17","INC15456063","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W17","INC15458222","Microsoft OneNote Issues","",,"OneNote Feature Not Working","OneNote feature not working",,,"Productivity Tools"
"2026-W17","INC15459189","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W17","INC15460043","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence assigned but not propagated",,,"Productivity Tools"
"2026-W17","INC15460057","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W17","INC15460816","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15461405","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15461960","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
