"PartitionKey","RowKey","Category","Subcategory","PossibleRootCause","DetailedRootCause","RootCause","AIAnalysis","Service","Misrouted","Date","YearWeek","Year","WeekNumber","ReportBlobName","Timestamp"
"2026-W23","INC15494549","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15499806","Microsoft OneNote Issues","OneNote not responding",,,"Desktop OneNote rendering instability was likely caused by the local device graphics/driver environment rather than notebook sync or data corruption.","The incident was for Microsoft OneNote and the problem was isolated to the desktop app flickering while the web version worked fine. Multiple OneNote/app fixes were attempted, including cache clear, sync, reset/repair, Office reinstall, and disabling hardware graphics acceleration; the user then updated the graphics driver and the issue stopped recurring during monitoring. This points to a client-side rendering/graphics problem on the laptop, not a OneDrive, licensing, or notebook sync issue.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15529158","Excluded","Unknown",,,"The request was for mailbox/calendar access on a generic account, which is handled by the mail team and falls outside Productivity Tools scope.","The ticket centers on enabling calendar access for a generic/system account, and the notes explicitly say the mailbox enablement was processed by the mail team separately. OneDrive access was also mentioned, but the resolution path focused on mailbox enablement for the sys account, which is outside Productivity Tools support scope. The OneDrive aspect was not the root cause of the resolved issue.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15532068","Microsoft OneDrive Issues","Rejoined user - previous OneDrive content unavailable",,,"A rehired employee received a new object ID, while shared OneDrive and SharePoint items still referenced the old identity, causing permission mismatches and access denied errors.","This was a rehire identity mismatch affecting shared files in OneDrive and SharePoint, which routes to Microsoft OneDrive Issues per the rejoined-user rule. The notes explicitly state the old Object ID remained in the User Information List and that cleanup of old identity references on OneDrive and SharePoint sites resolved access. KB10062443 was used for the OneDrive profile cleanup, and the user confirmed the fix worked.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15540999","Microsoft OneDrive Issues","OneDrive client not running","OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15545093","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15547882","Excluded","","Unknown","Unknown",,,"Productivity Tools","True","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15548712","Microsoft OneDrive Issues","Storage quota exceeded","Quota Storage Issue","OneDrive storage quota exceeded",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15548935","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15549902","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
