"PartitionKey","RowKey","Category","Subcategory","PossibleRootCause","DetailedRootCause","Date"
"2026-W23","INC15494549","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Rejoin access not reapplied to OneDrive","2026-06-02"
"2026-W23","INC15529158","Excluded","","Unknown","Unknown","2026-06-04"
"2026-W23","INC15547882","Other / Miscellaneous","**Rejoin scenarios.** If the user is a rejoined employee or accessing a former employee's data, use a rejoin subcategory inside **Microsoft OneDrive** (e.g., ""Rejoin access issue"", ""Former employee data — within 30 days"") — not a generic ""Shared file access issue"".","Unknown","Unknown","2026-06-02"
"2026-W23","INC15551098","Microsoft OneDrive Issues","OneDrive client not running","OneDrive Sign-In / Connectivity Failure","OneDrive sign-in / connectivity failure","2026-06-01"
"2026-W23","INC15551581","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","2026-06-01"
"2026-W23","INC15551774","Excluded","","Unknown","Unknown","2026-06-01"
"2026-W23","INC15551795","Microsoft 365 Copilot Issues","","Copilot SKU Not Provisioned","Copilot licence assigned but not propagated","2026-06-01"
"2026-W23","INC15552287","Microsoft OneNote Issues","Notebook sync failure","Notebook Not Added on New Device","Notebook not added on new device","2026-06-01"
"2026-W23","INC15552436","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process","2026-06-01"
"2026-W23","INC15552970","Excluded","","Unknown","Unknown","2026-06-01"
"2026-W23","INC15553449","Microsoft OneNote Issues","Data loss after PC refresh","Data Loss After PC Refresh","OneNote data loss after PC refresh","2026-06-02"
"2026-W23","INC15554459","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process","2026-06-02"
"2026-W23","INC15554663","Microsoft OneDrive Issues","OneDrive client not running","Sync Stall","OneDrive client stopped syncing","2026-06-02"
"2026-W23","INC15554690","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","2026-06-02"
"2026-W23","INC15554826","Microsoft OneDrive Issues","OneDrive sync failure","OneDrive Sign-In / Connectivity Failure","OneDrive sign-in / connectivity failure","2026-06-02"
"2026-W23","INC15555094","Microsoft 365 Apps for Enterprise Issues","","Usage Guidance (How Do I)","Office usage / how-to question","2026-06-02"
"2026-W23","INC15555171","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","2026-06-02"
"2026-W23","INC15555272","Microsoft 365 Apps for Enterprise Issues","License / entitlement query","Office Compatibility Issue","Office usage / how-to question","2026-06-02"
"2026-W23","INC15555349","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing","2026-06-02"
"2026-W23","INC15555395","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied","2026-06-02"
"2026-W23","INC15557627","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied","2026-06-07"
"2026-W23","INC15557695","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Stale permission entry on old identity","2026-06-03"
"2026-W23","INC15558237","Microsoft Excel Issues","","Underlying Data Permission Missing","Underlying data permission missing (returns #N/A)","2026-06-04"
"2026-W23","INC15558868","Microsoft 365 Copilot Issues","","Copilot License Blackout","Copilot licence blackout (pool depleted)","2026-06-04"
"2026-W23","INC15560283","Shared File Service (Share Drives) Issues","Mapped drive not connecting","Mapped Drive Not Reconnected","Drive remap required after PC change","2026-06-04"
"2026-W23","INC15560670","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Stale permission entry on old identity","2026-06-04"
"2026-W23","INC15560752","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","2026-06-05"
"2026-W23","INC15560839","Google Workspace Issues","Google access issue","External Application Access Issue","Google Drive upload blocked by IT policy","2026-06-04"
"2026-W23","INC15562758","Microsoft OneDrive Issues","OneDrive client not running","OneDrive Client Failure","OneDrive client failed to launch","2026-06-05"
"2026-W23","INC15562947","Microsoft PowerPoint Issues","Powerpoint Hang","PowerPoint Client Fault","PowerPoint desktop-only crash","2026-06-05"
"2026-W23","INC15564889","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)","2026-06-07"
